VideoURL,Question,Selected Answer,isSelectedAnswerCorrect,Choice A,Choice A Probability,Choice B,Choice B Probability,Choice C,Choice C Probability,Choice D,Choice D Probability,Correct Answer,Not Top Token,Top Token,Chosen index for top frame,Second best index,Third best index,Path Top1,Path Top2,Path Top3,top 1 text
zwbCD3CUFIs,What color is the spatula on the cutting board?,Black,False,Black,0.9423828125,Green,0.0038814544677734375,Blue,0.008026123046875,Red,0.0020294189453125,Green,False,,8,7,4,./storage/zwbCD3CUFIs/frames/frame_003840.jpg,./storage/zwbCD3CUFIs/frames/frame_003360.jpg,./storage/zwbCD3CUFIs/frames/frame_001920.jpg,little pride yeah I'll let me just like flip that over like so just cut this into strips you can see that these ribbons are going to be almost like it's all it's like egg noodles yeah yeah lovely all right so we'll fire up the wok get it on a kind of medium heat and then we'll pop some oil in so and with the garlic 
zwbCD3CUFIs,What green ingredient is added to the pan ?,Green pepper,False,Green beans,0.362548828125,Green pepper,0.39794921875,Spring onions,0.1353759765625,Cucumber,0.00501251220703125,Spring onions,False,,2,14,3,./storage/zwbCD3CUFIs/frames/frame_000960.jpg,./storage/zwbCD3CUFIs/frames/frame_006720.jpg,./storage/zwbCD3CUFIs/frames/frame_001440.jpg,about half an hour we're going to leave them in there until they're ready to cook so next up we're going to do our prawns which is the meat in this dish all we want to do is pop in a wee bit of corn flour about a teaspoon for 150 grams as good this coats all the prawns and gives it like a really kind of well alloxan or the moisture of the poison also gives it a really kind of like a silky coating around the no one likes a 
zwbCD3CUFIs,What is the purpose of the large blue object on the table ?,It is a pan,False,It's a decoration,0.046875,It is a pan,0.5888671875,To provide heat to cook,0.335693359375,It is a trash can,0.0016803741455078125,To provide heat to cook,False,,3,8,5,./storage/zwbCD3CUFIs/frames/frame_001440.jpg,./storage/zwbCD3CUFIs/frames/frame_003840.jpg,./storage/zwbCD3CUFIs/frames/frame_002400.jpg,silky coating around the no one likes a rubbery fraud so we just put about a tablespoon of oil in the wok now you want this quite hot don't you do them you do you have to basically see those prawns immediately so in it goes so we're just going to stir fry these for about two to three minutes until they're 
zwbCD3CUFIs,How many prawns are cooking in the pan?,About 4 big prawns,False,there are no prawns,0.04595947265625,approximately 25,0.0090484619140625,About 4 big prawns,0.90869140625,approximately 80 prawns,0.0054473876953125,approximately 25,False,,4,3,11,./storage/zwbCD3CUFIs/frames/frame_001920.jpg,./storage/zwbCD3CUFIs/frames/frame_001440.jpg,./storage/zwbCD3CUFIs/frames/frame_005280.jpg,about two to three minutes until they're flesh of the prawns is pink and firm so as you can see the paws are now a lovely opaque kind of peach color and I've got a lovely little crust on them as well so they're ready to come out lovely person 
XzgR14o6b80,What is the color if the liquid the two steaks are in?,Transparent,False,Green,0.047821044921875,Red,0.059967041015625,Transparent,0.60107421875,Yellow-brown,0.262451171875,Yellow-brown,False,,14,6,3,./storage/XzgR14o6b80/frames/frame_006720.jpg,./storage/XzgR14o6b80/frames/frame_002880.jpg,./storage/XzgR14o6b80/frames/frame_001440.jpg,and delicious and almost sort of melting in the mouth texture we've got and this amazing sirloin so got that really nice nice sear around the outside it's just nice and pink in the middle start off with my crispy shell back of the spoon with the Wasabi 
XzgR14o6b80,What color is the hair of the man cooking?,Blond,True,Medium Brown,0.040191650390625,Blond,0.94384765625,Black,0.002147674560546875,White,0.00016820430755615234,Blond,False,,2,6,16,./storage/XzgR14o6b80/frames/frame_000960.jpg,./storage/XzgR14o6b80/frames/frame_002880.jpg,./storage/XzgR14o6b80/frames/frame_007680.jpg,it have flavor salt and pepper got tablespoons of olive oil in pan nice and hot hold up the steak and lay it in always lay away give a pan little shake and it stops the 
XzgR14o6b80,Which country are the cabbages from?,They are chinese,True,They are french,0.07061767578125,They are mexican,0.0030078887939453125,They are british,0.0014429092407226562,They are chinese,0.8876953125,They are chinese,False,,8,9,16,./storage/XzgR14o6b80/frames/frame_003840.jpg,./storage/XzgR14o6b80/frames/frame_004320.jpg,./storage/XzgR14o6b80/frames/frame_007680.jpg,spices now I want something sort of pickly cabbage these are um Chinese cabbages slice it in half look at it really crisp and really tasty we're going to slice that into quarters and then just shred it and take your 
XzgR14o6b80,How much wasabi is on the spoon ?,A single drop,False,,0.05291748046875,About a thumbnail size,0.416259765625,A single drop,0.501953125,A full spoon,0.00330352783203125,About a thumbnail size,False,,10,15,8,./storage/XzgR14o6b80/frames/frame_004800.jpg,./storage/XzgR14o6b80/frames/frame_007200.jpg,./storage/XzgR14o6b80/frames/frame_003840.jpg,touch of rice wine vinegar you haven't got that fresh lemon juice small drop of toasted sesame seed oil give that a really good mix now I need something to sort of Bring It Together take some wabby paste very hot very spicy a sort of thumbnail size I'm 
vow-kxTPatc,How many cups of flour are required ?,2 cups,True,2 cups,0.78955078125,1 cup,0.139404296875,,0.013275146484375,5 cups,0.00994110107421875,2 cups,False,,11,8,12,./storage/vow-kxTPatc/frames/frame_005280.jpg,./storage/vow-kxTPatc/frames/frame_003840.jpg,./storage/vow-kxTPatc/frames/frame_005760.jpg,yeast and make a dough so keep kneading the flour till it comes all together and becomes a very soft 
vow-kxTPatc,What color is the top of the woman ?,Red - brown,True,Yellow,0.004459381103515625,Red - brown,0.98583984375,White,0.00482177734375,Black,0.0007452964782714844,Red - brown,False,,33,18,19,./storage/vow-kxTPatc/frames/frame_015840.jpg,./storage/vow-kxTPatc/frames/frame_008640.jpg,./storage/vow-kxTPatc/frames/frame_009120.jpg,these Nan they look great and thank you for watching I will see you again with a new recipe and I'm ready to eat e 
