VideoURL,Question,Selected Answer,isSelectedAnswerCorrect,Choice A,Choice A Probability,Choice B,Choice B Probability,Choice C,Choice C Probability,Choice D,Choice D Probability,Correct Answer,Not Top Token,Top Token,Chosen index for top frame,Second best index,Third best index,Path Top1,Path Top2,Path Top3,top 1 text
zwbCD3CUFIs,What color is the spatula on the cutting board?,Black,False,Black,0.74755859375,Red,0.006366729736328125,Green,0.1279296875,Blue,0.00830841064453125,Green,False,,10,13,5,./storage/zwbCD3CUFIs/frames/frame_000900.jpg,./storage/zwbCD3CUFIs/frames/frame_001170.jpg,./storage/zwbCD3CUFIs/frames/frame_000450.jpg,little pride yeah I'll let me just like flip that over like so just cut this into strips you can see that these ribbons are going to be almost like it's all it's like egg noodles yeah yeah lovely all right so we'll fire up the wok get it on a kind of medium heat and then we'll pop some oil in so and with the garlic look this sizzle a wee bit thanks Amy 
zwbCD3CUFIs,What green ingredient is added to the pan ?,Green beans,False,Green beans,0.350830078125,Green pepper,0.273193359375,Cucumber,0.0299530029296875,Spring onions,0.2410888671875,Spring onions,False,,5,6,12,./storage/zwbCD3CUFIs/frames/frame_000450.jpg,./storage/zwbCD3CUFIs/frames/frame_000540.jpg,./storage/zwbCD3CUFIs/frames/frame_001080.jpg,corn flour about a teaspoon for 150 grams as good this coats all the prawns and gives it like a really kind of well alloxan or the moisture of the poison also gives it a really kind of like a silky coating around the no one likes a rubbery fraud so we just put about a tablespoon of oil in the wok now you want this quite hot don't you do them you do you have to basically see those 
zwbCD3CUFIs,What is the purpose of the large blue object on the table ?,It is a pan,False,It is a pan,0.498046875,It is a trash can,0.00926971435546875,To provide heat to cook,0.45361328125,It's a decoration,0.00335693359375,To provide heat to cook,False,,13,6,10,./storage/zwbCD3CUFIs/frames/frame_001170.jpg,./storage/zwbCD3CUFIs/frames/frame_000540.jpg,./storage/zwbCD3CUFIs/frames/frame_000900.jpg,blisters on it yeah everything is pretty much ready to come out sorry just pop it straight back into your vessel you guys so that is it for the beach we're ready to get onto the noodles so for this we only want the wok on kind of like a low to medium heat and and we'll pop some oil in there about a tablespoon and this is the part we will 
zwbCD3CUFIs,How many prawns are cooking in the pan?,there are no prawns,False,there are no prawns,0.44873046875,approximately 80 prawns,0.057037353515625,approximately 25,0.255615234375,About 4 big prawns,0.11346435546875,approximately 25,False,,8,5,3,./storage/zwbCD3CUFIs/frames/frame_000720.jpg,./storage/zwbCD3CUFIs/frames/frame_000450.jpg,./storage/zwbCD3CUFIs/frames/frame_000270.jpg,they're ready to come out lovely person job last week obviously brilliant so for the omelette I have a couple of beaten eggs with some salt and pepper and some oil and we just want to put that right into a hot frying pan now you could just do the eggs as a scramble in the wok as 
XzgR14o6b80,What is the color if the liquid the two steaks are in?,Yellow-brown,True,Red,0.07806396484375,Yellow-brown,0.8662109375,Transparent,0.0301055908203125,Green,0.00044655799865722656,Yellow-brown,False,,6,7,9,./storage/XzgR14o6b80/frames/frame_000540.jpg,./storage/XzgR14o6b80/frames/frame_000630.jpg,./storage/XzgR14o6b80/frames/frame_000810.jpg,pan you give a spak little base all we're doing every time is just adding more and more flavor take your tongs and sort of lift the steak on its back and really melt for that fat down offer the gas tear them out just 
XzgR14o6b80,What color is the hair of the man cooking?,Blond,True,Black,0.014404296875,Medium Brown,0.0017070770263671875,Blond,0.978515625,White,0.0004248619079589844,Blond,False,,15,7,1,./storage/XzgR14o6b80/frames/frame_001350.jpg,./storage/XzgR14o6b80/frames/frame_000630.jpg,./storage/XzgR14o6b80/frames/frame_000090.jpg,a really good mix these are basic corn tortilla the trick is to sort of color them and then shape them actually place it on the gas ring use some tongs so it's not to burn yourself you can also toast your tacos 
XzgR14o6b80,Which country are the cabbages from?,They are chinese,True,They are mexican,0.05389404296875,They are british,0.00609588623046875,They are chinese,0.91162109375,They are french,0.0019178390502929688,They are chinese,False,,10,11,12,./storage/XzgR14o6b80/frames/frame_000900.jpg,./storage/XzgR14o6b80/frames/frame_000990.jpg,./storage/XzgR14o6b80/frames/frame_001080.jpg,from beef pore chicken or fish and are loaded up with amazing sauces and spices now I want something sort of pickly cabbage these are um Chinese cabbages slice it in half look at it really crisp and really tasty we're going to slice that into 
XzgR14o6b80,How much wasabi is on the spoon ?,About a thumbnail size,True,A full spoon,0.1654052734375,About a thumbnail size,0.71875,,0.0243988037109375,A single drop,0.0330810546875,About a thumbnail size,False,,14,11,18,./storage/XzgR14o6b80/frames/frame_001260.jpg,./storage/XzgR14o6b80/frames/frame_000990.jpg,./storage/XzgR14o6b80/frames/frame_001620.jpg,want freshness a little season of chili flakes they sort of discret give it a little bit of heat little touch of rice wine vinegar you haven't got that fresh lemon juice small drop of toasted sesame seed oil give that a really good mix now I 
vow-kxTPatc,How many cups of flour are required ?,2 cups,True,5 cups,0.1475830078125,,0.00893402099609375,2 cups,0.77294921875,1 cup,0.0242767333984375,2 cups,False,,6,4,3,./storage/vow-kxTPatc/frames/frame_000540.jpg,./storage/vow-kxTPatc/frames/frame_000360.jpg,./storage/vow-kxTPatc/frames/frame_000270.jpg,yeast and make a dough so keep kneading the flour till it comes all together and becomes a very soft dough now I'm just going to take few 
vow-kxTPatc,What color is the top of the woman ?,Red - brown,True,Red - brown,0.94677734375,Yellow,0.0037212371826171875,White,0.0277099609375,Black,0.01288604736328125,Red - brown,False,,15,16,10,./storage/vow-kxTPatc/frames/frame_001350.jpg,./storage/vow-kxTPatc/frames/frame_001440.jpg,./storage/vow-kxTPatc/frames/frame_000900.jpg,ready again I'm just going to wet my Palms little bit 
