index,image_path,raw_text
0,1000268201_693b08cb0e.jpg,A child in a pink dress is climbing up a set of stairs in an entry way 
1,1001773457_577c3a7d70.jpg,A black dog and a spotted dog are fighting 
2,1002674143_1b742ab4b8.jpg,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl 
3,1003163366_44323f5815.jpg,A man lays on a bench while his dog sits by him 
4,1007129816_e794419615.jpg,A man in an orange hat starring at something 
5,1007320043_627395c3d8.jpg,A child playing on a rope net 
6,1009434119_febe49276a.jpg,A black and white dog is running in a grassy garden surrounded by a white fence 
7,1012212859_01547e3f17.jpg,"A dog shakes its head near the shore , a red ball next to it "
8,1015118661_980735411b.jpg,A boy smiles in front of a stony wall in a city 
9,1015584366_dfcec3c85a.jpg,A black dog leaps over a log 
10,101654506_8eb26cfb60.jpg,A brown and white dog is running through the snow 
11,101669240_b2d3e7f17b.jpg,A man in a hat is displaying pictures next to a skier in a blue hat 
12,1016887272_03199f49c4.jpg,A collage of one person climbing a cliff 
13,1019077836_6fc9b15408.jpg,A brown dog chases the water from a sprinkler on a lawn 
14,1019604187_d087bf9a5f.jpg,A dog prepares to catch a thrown object in a field with nearby cars 
15,1020651753_06077ec457.jpg,a black and white dog jumping in the air to get a toy 
16,1022454332_6af2c1449a.jpg,A child and a woman are at waters edge in a big city 
17,1022454428_b6b660a67b.jpg,"A couple and an infant , being held by the male , sitting next to a pond with a near by stroller "
18,1022975728_75515238d8.jpg,A black dog running in the surf 
19,102351840_323e3de834.jpg,A man drilling a hole in the ice 
20,1024138940_f1fefbdce1.jpg,Two different breeds of brown and white dogs play on the beach 
21,102455176_5f8ead62d5.jpg,A man uses ice picks and crampons to scale ice 
22,1026685415_0431cbf574.jpg,A black dog carries a green toy in his mouth as he walks through the grass 
23,1028205764_7e8df9a2ea.jpg,A man and a baby are in a yellow kayak on water 
24,1030985833_b0902ea560.jpg,A black dog and a brown dog are jumping up to catch a red toy 
25,103106960_e8a41d64f8.jpg,A boy with a stick kneeling in front of a goalie net 
26,103195344_5d2dc613a3.jpg,A man in black is sitting next to a modern art structure in front of a glass building 
27,103205630_682ca7285b.jpg,A tent is being set up on the ice 
28,1032122270_ea6f0beedb.jpg,A woman crouches near three dogs in a field 
29,1032460886_4a598ed535.jpg,a man is standing in front of a skyscraper 
30,1034276567_49bb87c51c.jpg,A boy bites hard into a treat while he sits outside 
31,104136873_5b5d41be75.jpg,People sit on the mountainside and check out the view 
32,1042020065_fb3d3ba5ba.jpg,A boy in a green shirt is looking down at many inflatable boats 
33,1042590306_95dea0916c.jpg,A man and woman pose for the camera while another man looks on 
34,1045521051_108ebc19be.jpg,A person eats takeout while watching a small television 
35,1048710776_bb5b0a5c7c.jpg,a couple of several people sitting on a ledge overlooking the beach 
36,1052358063_eae6744153.jpg,A boy takes a jump on his skateboard while another boy with a skateboard watches 
37,105342180_4d4a40b47f.jpg,"A girl paddling down a large river , as seen from behind her "
38,1053804096_ad278b25f1.jpg,A girl in pigtails splashes in the shallow water 
39,1055623002_8195a43714.jpg,A group of four children wearing pajamas have a pillow fight 
40,1055753357_4fa3d8d693.jpg,Two constructions workers sit on a beam taking a break 
41,1056249424_ef2a2e041c.jpg,The children are playing in the water 
42,1056338697_4f7d7ce270.jpg,A blond woman in a blue shirt appears to wait for a ride 
43,1056359656_662cee0814.jpg,A little girl looking at a brochure on train rides 
44,1056873310_49c665eb22.jpg,A brown dog is running after a black dog on a rocky shore 
45,1057089366_ca83da0877.jpg,A boy descends off the end of a high diving board 
46,1057210460_09c6f4c6c1.jpg,A guy stands by a window taking his overshirt off 
47,1057251835_6ded4ada9c.jpg,A light-colored dog runs on the beach 
48,106490881_5a2dd9b7bd.jpg,A boy in his blue swim shorts at the beach 
49,106514190_bae200f463.jpg,A hiker standing high on a bluff overlooking the mountains below 
50,1067180831_a59dc64344.jpg,A black and white dog is attempting to catch a yellow and purple object in a low cut yard 
51,1067675215_7336a694d6.jpg,A man in blue shorts is laying in the street 
52,1067790824_f3cc97239b.jpg,A white and black dog and a brown dog in sandy terrain 
53,1072153132_53d2bb1b60.jpg,A black and white dog catches a toy in midair 
54,107318069_e9f2ef32de.jpg,A crowd watching air balloons at night 
55,1075716537_62105738b4.jpg,A child with a helmet on his head rides a bike 
56,107582366_d86f2d3347.jpg,A group of eight people are gathered around a table at night 
57,1075867198_27ca2e7efe.jpg,A man in a brown shirt and dark shorts plays on the beach with his two black dogs 
58,1075881101_d55c46bece.jpg,a boy cleans the bubbles off his face 
59,1077546505_a4f6c4daa9.jpg,A boy in blue shorts slides down a slide into a pool 
60,1077931201_1e0bb83105.jpg,A man in a wetsuit is throwing a baby wearing a wetsuit up into the air 
61,1079274291_9aaf896cc1.jpg,A little boy sticks his tongue out for the camera 
62,10815824_2997e03d76.jpg,A blonde horse and a blonde girl in a black sweatshirt are staring at a fire in a barrel 
63,1082252566_8c79beef93.jpg,"A bulldog , a sheep dog , and a boxer standing in a yard "
64,1082379191_ec1e53f996.jpg,A lady and a man with no shirt sit on a dock 
65,1084040636_97d9633581.jpg,A closeup of a white dog that is laying its head on its paws 
66,1084104085_3b06223afe.jpg,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness 
67,1087168168_70280d024a.jpg,A boy is jumping on an inflatable ring and a girl is watching him 
68,1087539207_9f77ab3aaf.jpg,A family playing on a tractor on a beautiful day 
69,1088767354_2acee738cf.jpg,A woman in a red costume to the left of a man and woman standing together 
70,108898978_7713be88fc.jpg,Skiiers walking up the hill through a forest 
71,108899015_bf36131a57.jpg,A lone skier is making their way up a mountain 
72,1089181217_ee1167f7af.jpg,a brown dog running down a paved pathway 
73,1089755335_0bfbfd30e6.jpg,A mother and children is fishing on a boardwalk at night 
74,109202756_b97fcdc62c.jpg,A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain 
75,109202801_c6381eef15.jpg,Two draft horses pull a cart through the snow 
76,109260216_85b0be5378.jpg,A person climbing down a sheer rock cliff using a rope 
77,109260218_fca831f933.jpg,People stand inside a rock dome 
78,1093716555_801aacef79.jpg,a group of backpackers lay on the dry ground 
79,1093737381_b313cd49ff.jpg,A woman in a blue dress stands with a chalk portrait of two children playing by a stream 
80,1094462889_f9966dafa6.jpg,A brown dog plays in a deep pile of snow 
81,1095476286_87d4f8664e.jpg,A boy jumping in a fountain 
82,1095580424_76f0aa8a3e.jpg,A Corgi runs out of a tunnel 
83,1095590286_c654f7e5a9.jpg,A blond dog and a black and white dog run in a dirt field 
84,1095980313_3c94799968.jpg,A little girl in a blue swimsuit is walking along a wooden fence next to a sandy beach 
85,1096097967_ac305887b4.jpg,A black and white dog drinking water from a water spray 
86,1096165011_cc5eb16aa6.jpg,a boy smiles underwater 
87,1096395242_fc69f0ae5a.jpg,A boy with a toy gun 
88,109671650_f7bbc297fa.jpg,A boy in yellow shorts is standing on top of a cliff 
89,109738763_90541ef30d.jpg,A person on a snowmobile in mid jump 
90,109738916_236dc456ac.jpg,People are riding around on snowmobiles 
91,109823394_83fcb735e1.jpg,Three people drive ATVs 
92,109823395_6fb423a90f.jpg,A four wheeler jumping in an empty field 
93,109823397_e35154645f.jpg,A man jumps gin the air while riding an ATV 
94,1100214449_d10861e633.jpg,A boy in s striped shirt is jumping in front of a water fountain 
95,1104133405_c04a00707f.jpg,A boy carrying a soccer ball 
96,1105959054_9c3a738096.jpg,A child painting a picture 
97,110595925_f3395c8bd6.jpg,A cyclist is riding a bicycle on a curved road up a hill 
98,1107246521_d16a476380.jpg,a black dog jumping to catch a rope toy 
99,1107471216_4336c9b328.jpg,A little girl is holding a cine camera in front of her face 
100,1110208841_5bb6806afe.jpg,A black and white Border Collie catches a Frisbee in front of an audience 
101,1112212364_0c48235fc2.jpg,A baby is sitting on and playing with smooth rocks 
102,111497985_38e9f88856.jpg,A kid rock climbing against the backdrop of a green valley 
103,111537217_082a4ba060.jpg,A man climbing a rock wall 
104,111537222_07e56d5a30.jpg,A climber wearing a blue helmet and headlamp is attached to a rope on the rock face 
105,1115565519_d976d4b1f1.jpg,A child playing with a fountain at the beach 
106,1115679311_245eff2f4b.jpg,A black dog is jumping over a log along a beach 
107,111766423_4522d36e56.jpg,A black and white bird eating seeds out of someone 's hand 
108,1117972841_2b9261f95f.jpg,A brown dog is running in the sand 
109,1118557877_736f339752.jpg,A little boy stands in the surf 
110,1119015538_e8e796281e.jpg,A little tan dog with large ears running through the grass 
111,1119418776_58e4b93eac.jpg,A black and white dog is running through the field 
112,1119463452_69d4eecd08.jpg,A girl in a pink swimsuit in a pool 
113,1121416483_c7902d0d49.jpg,A child is standing on her head 
114,112178718_87270d9b4d.jpg,A guy stands in the sand with a snowboard behind him 
115,112243673_fd68255217.jpg,People on ATVs and dirt bikes are traveling along a worn path in a field surrounded by trees 
116,1122944218_8eb3607403.jpg,A baby in a white garment holds a flag with crescent moon and star 
117,1124448967_2221af8dc5.jpg,A half naked man is sleeping on his chair outdoors 
118,1129704496_4a61441f2c.jpg,A brown and white and a black and white dog hauling in a floating toy from the ocean 
119,1130017585_1a219257ac.jpg,"There are three young people , one dark haired holding a bottled drink , one with head tilted back and finger in her mouth , and one with spiked hair "
120,1130369873_d80a1aa59c.jpg,A brown dog is running through neck-deep water carrying a tennis ball 
121,1130401779_8c30182e3e.jpg,Two brown dogs are creating large splashes as they run in a river 
122,1131155939_b4b457b05e.jpg,A black dog runs into the ocean next to a pile of seaweed 
123,1131340021_83f46b150a.jpg,A young boy runs while wearing sandals 
124,1131800850_89c7ffd477.jpg,A brown and white dog stands outside while it snows 
125,1131804997_177c3c0640.jpg,Two men are sitting on the ground and going through their backpacks 
126,1131932671_c8d17751b3.jpg,A boy is jumping on a bed 
127,1132772170_600610c5df.jpg,A child leaping from bed to bed behind the back of a man 
128,113678030_87a6a6e42e.jpg,A snowboarder sits on a slope with skiers and boarders nearby 
129,1138784872_69ade3f2ab.jpg,A girl in green walks down a city street 
130,114051287_dd85625a04.jpg,A boy dressed in soccer attire and holding his shoes getting out of a car 
131,1141718391_24164bf1b1.jpg,"A bridge through high green plants , a man and a woman on it "
132,1141739219_2c47195e4c.jpg,A family gathered at a painted van 
133,1142283988_6b227c5231.jpg,A blond woman poses with a person in a pink costume 
134,1142847777_2a0c1c2551.jpg,A bicyclist riding on a city street 
135,1143373711_2e90b7b799.jpg,A bicycle rider is crossing a street 
136,1143882946_1898d2eeb9.jpg,A lady wearing a helmet holding a bike 
137,1144288288_e5c9558b6a.jpg,A man in shorts is jogging along a street with a headset 
138,1148238960_f8cacec2fc.jpg,Bicyclists are standing at an intersection 
139,1149179852_acad4d7300.jpg,A man without a shirt on is guiding a large brown horse pulling a green and yellow wagon 
140,114949897_490ca7eaec.jpg,A boy hits a ball off of a tee ball into to net 
141,1151466868_3bc4d9580b.jpg,A small girl spins in the waves in the bright sun 
142,1153704539_542f7aa3a5.jpg,A girl playing trumpet in a marching band 
143,1155138244_859fd6e079.jpg,A girl hands out Starbucks samples at a street fair 
144,115684808_cb01227802.jpg,Three men are setting up a sledge on a snowy plain 
145,1159574340_99ba8c3c59.jpg,A child jumping into a lake in a wooded area while another child plays on the shore 
146,1160034462_16b38174fe.jpg,A elderly man in a straw hat is sitting on a bench 
147,1160441615_fe6b3c5277.jpg,Three girls are walking across a bridge covered with wood and surrounded by trees 
148,1163282319_b729b24c46.jpg,"A girl dressed in a red top , a red cap , and light colored shorts , sits on a rock outside "
149,116409198_0fe0c94f3b.jpg,A man eats near a tent in the snow 
150,1164131282_b30926f332.jpg,A grey dog beside a black and white dog running in green grass 
